,EXERCÍCIO,NOME FUNÇÃO,NOME SUBFUNÇÃO,ORÇAMENTO REALIZADO (R$)
3910,2014,Educação,Ensino superior,3533.4
3912,2014,Educação,Ensino superior,75991.12
3913,2014,Educação,Ensino superior,56.82
3915,2014,Educação,Ensino superior,23065.71
3917,2014,Educação,Ensino superior,168286.55
3918,2014,Educação,Ensino superior,150000.0
3919,2014,Educação,Ensino superior,5996.0
3922,2014,Educação,Ensino superior,15092.96
3923,2014,Educação,Ensino superior,1167.21
3924,2014,Educação,Ensino superior,1199.2
3925,2014,Educação,Ensino superior,484.5
3926,2014,Educação,Ensino superior,10478.63
3930,2014,Educação,Ensino superior,876.0
3931,2014,Educação,Ensino superior,237452.05
3933,2014,Educação,Ensino superior,8920.0
3938,2014,Educação,Ensino superior,565793.27
3939,2014,Educação,Ensino superior,1688.0
3942,2014,Educação,Ensino superior,5134.0
3944,2014,Educação,Ensino superior,7772.0
3953,2014,Educação,Ensino superior,425.0
3956,2014,Educação,Ensino superior,5579.59
3960,2014,Educação,Ensino superior,451093.46
3961,2014,Educação,Ensino superior,995.6
3964,2014,Educação,Ensino superior,190854.17
3967,2014,Educação,Ensino superior,123250.0
3972,2014,Educação,Ensino superior,576713.35
3973,2014,Educação,Ensino superior,165275.22
3979,2014,Educação,Ensino superior,220940.05
3981,2014,Educação,Ensino superior,21001.56
3982,2014,Educação,Ensino superior,246312.31
3984,2014,Educação,Ensino superior,52953.73
3985,2014,Educação,Ensino superior,29867.3
3986,2014,Educação,Ensino superior,8333.54
3987,2014,Educação,Ensino superior,106840.0
3988,2014,Educação,Ensino superior,49706.0
3990,2014,Educação,Ensino superior,342858.43
3992,2014,Educação,Ensino superior,161500.75
3995,2014,Educação,Ensino profissional,77600.0
4001,2014,Educação,Ensino profissional,361505.76
4003,2014,Educação,Ensino profissional,310993.54
4007,2014,Educação,Ensino profissional,514768.25
4013,2014,Educação,Ensino profissional,270767.54
4027,2014,Educação,Ensino profissional,92617.78
4029,2014,Educação,Ensino profissional,153171.0
4035,2014,Educação,Ensino profissional,376894.88
4038,2014,Educação,Ensino profissional,38902.37
4041,2014,Educação,Ensino profissional,3314.25
4052,2014,Educação,Ensino profissional,205448.43
4053,2014,Educação,Ensino profissional,321542.36
4056,2014,Educação,Ensino profissional,111725.82
4058,2014,Educação,Ensino profissional,186088.5
4068,2014,Educação,Ensino profissional,179894.63
4069,2014,Educação,Ensino profissional,570867.3
4070,2014,Educação,Ensino profissional,273178.15
4073,2014,Educação,Ensino profissional,17000.0
4075,2014,Educação,Ensino profissional,42000.0
4076,2014,Educação,Ensino profissional,438656.17
4077,2014,Educação,Ensino profissional,349959.44
4079,2014,Educação,Ensino profissional,438474.0
4088,2014,Educação,Ensino profissional,66990.56
4090,2014,Educação,Ensino profissional,410818.23
4094,2014,Educação,Ensino profissional,310000.0
4100,2014,Educação,Ensino profissional,191390.23
4103,2014,Educação,Ensino profissional,28577.13
4109,2014,Educação,Ensino profissional,103390.08
4114,2014,Educação,Ensino profissional,182375.83
4115,2014,Educação,Ensino profissional,185670.15
4118,2014,Educação,Ensino profissional,4864.0
4121,2014,Educação,Ensino profissional,586411.6
4126,2014,Educação,Ensino profissional,42533.2
